wallet_address,confidence_label,composite_rank,composite_score,in_scope_trade_count,in_scope_volume_usd,clean_activity_records,raw_activity_records,activity_capped,wash_vol_share,wash_label,primary_conviction_signal,primary_signal_trade_count,primary_signal_notional_usd,primary_signal_implied_profit_usd,size_anomaly_signal,size_anomaly_trade_count,scope_concentration_signal,middling_price_accuracy_signal,middling_price_trade_count,middling_price_hit_rate,sweep_penalty,near_certain_correct_share
0x28b255ed9747765be4f44ce484532d4b6bdfa74f,Insufficient data,143,0.0,0,0,1857,2000,True,0.1315,partial_washer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x2a019dc0089ea8c6edbbafc8a7cc9ba77b4b6397,Insufficient data,144,0.0,0,0,1594,2000,True,0.2658,partial_washer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x2a315a8d15cfde768bcd47ba5cacf3ef5894f2f0,Insufficient data,145,0.0,0,0,1998,2000,True,0.0,clean,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x2c3928af89565c352afe8e2a1b25deed77a056dc,Insufficient data,146,0.0,0,0,1729,2000,True,0.1336,partial_washer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x2d613c30614b68eada0a37d65bddf3778d981fa7,Insufficient data,147,0.0,0,0,1844,2000,True,0.2505,partial_washer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x2d99e29c4f066ba32098c65e4c7454b277d94ca3,Insufficient data,148,0.0,0,0,1435,2000,True,0.2045,partial_washer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x2fe362752c3df1aa563da75e985213db439fa828,Benign sharp,149,0.0,40,39450.45,675,953,False,0.3969,partial_washer,0.0,0,0,0,0.0,0,0.0461,0.0,0,0.0,0.7842,1.0
0x30cecdf29f069563ea21b8ae94492e41e53a6b2b,Insufficient data,150,0.0,2,3.02,2000,2000,True,0.0,clean,0.0,0,0,0,0.0,0,0.0003,0.0,0,0.0,0.0,0.0
0x3376af22d333213cc84be18e9687d421ef5d3c7f,Insufficient data,151,0.0,0,0,1998,2000,True,0.0002,clean,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x33e5945c1f0843c3068d8418ba90c2accd081c91,Volume farmer,152,0.0,0,0,1430,2000,True,0.5017,volume_farmer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x34026514e0bda25f0f9fbb053fe3070cdc8c9446,Insufficient data,153,0.0,0,0,1994,2000,True,0.0212,clean,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x355f3b6a0e5b430a21b5067403c2f4507dbc0df8,Volume farmer,154,0.0,71,17722.47,1259,2000,True,0.5378,volume_farmer,0.0,0,0,0,0.0,0,0.0146,0.0,0,0.0,0.0597,0.4616
0x35bbbad2415fe5e39b12da9a316cdc80b022009b,Volume farmer,155,0.0,0,0,535,2000,True,0.7646,volume_farmer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x3861f3be40ebaf7bdad54b12113638f6eaddb1ba,Insufficient data,156,0.0,1,11020.67,7,9,False,0.3846,partial_washer,0.0,0,0,0,0.0,0,0.3329,0.0,0,0.0,0.2204,1.0
0x38e59b36aae31b164200d0cad7c3fe5e0ee795e7,Insufficient data,157,0.0,0,0,1935,2000,True,0.067,clean,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x3b4484b6c8cbfdaa383ba337ab3f0d71055e264e,Insufficient data,158,0.0,2,157.0,1443,2000,True,0.3814,partial_washer,0.0,0,0,0,0.0,0,0.0002,0.0,0,0.0,0.0,0.0
0x3b485b0f894b391c04399efcf4e6b0648233050c,Insufficient data,159,0.0,44,10701.04,1021,1209,False,0.3648,partial_washer,0.0,0,0,0,0.0,0,0.0664,0.0,0,0.0,0.0404,0.4345
0x3c5b209601d6cfbbd27e101c96f365c072100584,Insufficient data,160,0.0,0,0,1965,2000,True,0.2557,partial_washer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x3cf2836aac4fc58b7bfa40151e9f2d4c02911fac,Volume farmer,161,0.0,0,0,49,63,False,0.9217,volume_farmer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
