wallet_pseudonym,market_condition_id,market_question,chart_label,timestamp_utc,relative_time_to_resolution,price,is_candidate_buy
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-01T20:42:48+00:00,0.01712,0.642,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-01T20:42:48+00:00,0.01712,0.642,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-01T20:42:48+00:00,0.01712,0.642,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-01T20:48:40+00:00,0.019283,0.5,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-01T20:57:12+00:00,0.022429,0.21,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-01T20:58:54+00:00,0.023056,0.1704,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-01T21:04:48+00:00,0.025232,0.359,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-01T21:26:52+00:00,0.033368,0.165,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-01T21:34:42+00:00,0.036256,0.112,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-01T21:39:04+00:00,0.037866,0.12,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-01T21:55:20+00:00,0.043863,0.138835,True
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-01T21:55:24+00:00,0.043888,0.139,True
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-01T22:01:32+00:00,0.046149,0.3,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-01T22:01:32+00:00,0.046149,0.216616,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-01T22:15:18+00:00,0.051225,0.229622,True
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-01T22:18:06+00:00,0.052257,0.33755,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-01T22:24:20+00:00,0.054556,0.291429,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-01T22:24:22+00:00,0.054568,0.296,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-01T22:26:50+00:00,0.055477,0.33,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-01T22:28:14+00:00,0.055994,0.33,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-01T22:28:32+00:00,0.056104,0.337,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-01T22:28:36+00:00,0.056129,0.328,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-01T22:28:44+00:00,0.056178,0.337,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-01T22:29:52+00:00,0.056596,0.328,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-01T22:32:20+00:00,0.057505,0.302,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-01T22:34:08+00:00,0.058169,0.335534,True
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-01T22:34:12+00:00,0.058193,0.338,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-01T22:34:30+00:00,0.058304,0.373233,True
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-01T23:00:22+00:00,0.067841,0.367756,True
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-01T23:00:26+00:00,0.067866,0.368,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-01T23:19:06+00:00,0.074748,0.338,True
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-01T23:36:58+00:00,0.081336,0.211,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-01T23:49:22+00:00,0.085908,0.277911,True
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T00:09:26+00:00,0.093306,0.265,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T00:09:48+00:00,0.093441,0.266,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T00:10:02+00:00,0.093527,0.268,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T01:08:54+00:00,0.115232,0.279478,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T01:31:04+00:00,0.123405,0.266,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T01:31:52+00:00,0.1237,0.267,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T01:36:26+00:00,0.125383,0.256,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T01:43:22+00:00,0.12794,0.302,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T01:43:22+00:00,0.12794,0.272057,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T01:51:02+00:00,0.130766,0.328845,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T01:58:06+00:00,0.133372,0.363,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T02:01:30+00:00,0.134625,0.342899,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T02:14:42+00:00,0.139492,0.391,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T02:15:36+00:00,0.139824,0.391,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T02:35:46+00:00,0.14726,0.387055,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T02:57:46+00:00,0.155371,0.368811,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T02:58:16+00:00,0.155555,0.39,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T03:18:02+00:00,0.162843,0.427481,True
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T03:18:40+00:00,0.163077,0.324,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T03:21:46+00:00,0.16422,0.394452,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T03:26:14+00:00,0.165867,0.339,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T03:49:28+00:00,0.174433,0.349,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T04:06:14+00:00,0.180615,0.387681,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T04:12:24+00:00,0.182889,0.333657,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T04:12:24+00:00,0.182889,0.334,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T04:24:46+00:00,0.187448,0.33045,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T04:29:58+00:00,0.189365,0.226601,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T05:06:08+00:00,0.2027,0.227098,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T05:35:50+00:00,0.213651,0.211,False
