wallet_address,wallet_pseudonym,market_condition_id,market_question,resolved_outcome,side_bought,api_trades_pulled,outcome_contract_trades,candidate_buy_trades,candidate_buy_notional_usd,candidate_avg_entry_price,candidate_first_buy_utc,candidate_last_buy_utc,hours_first_buy_to_resolution,hours_last_buy_to_resolution,price_at_or_before_first_buy,min_price_after_first_buy,min_price_after_first_buy_utc,min_price_after_last_buy,min_price_after_last_buy_utc,max_price_after_first_buy,max_price_after_first_buy_utc,last_price_before_resolution,last_price_before_resolution_utc,settlement_price,entry_to_last_price_change,worst_drawdown_after_first_buy,worst_drawdown_after_last_buy
0xcd71fd5370880f3d92bb941e628c05840fe0d127,Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Yes,Yes,1281,601,13,10520.08,0.4528,2025-12-01T19:56:22+00:00,2025-12-02T11:12:26+00:00,45.2,29.9,0.463,0.112,2025-12-01T21:34:42+00:00,0.3391,2025-12-02T11:12:26+00:00,0.999,2025-12-03T13:25:59+00:00,0.999,2025-12-03T16:07:07+00:00,1.0,0.5462,-0.3408,-0.1137
0xbacd00c9080a82ded56f504ee8810af732b0ab35,ScottyNooo,0x0d880d85cadbe01cf69b30215a8f7304f0bc3e31f6f92218b0b02c9f145e9780,Will Lady Gaga win 3 Grammys?,No,No,851,472,4,9161.04,0.4315,2026-02-03T01:05:44+00:00,2026-02-03T01:11:50+00:00,94.9,94.7,0.25,0.1215,2026-02-03T01:11:42+00:00,0.379,2026-02-03T01:11:50+00:00,0.999,2026-02-03T02:04:08+00:00,0.999,2026-02-06T12:39:23+00:00,1.0,0.5675,-0.31,-0.0525
0xcd71fd5370880f3d92bb941e628c05840fe0d127,Kevindoto,0x947d1021c37d975fb9a2f81d9b7da2579dd6cbf18d9c1e147e7a8f95480cd01a,Will Drake be the third most streamed Spotify artist for 2025?,No,No,1659,671,7,5549.05,0.4088,2025-12-01T20:47:04+00:00,2025-12-02T11:12:00+00:00,44.2,29.7,0.6,0.11,2025-12-01T21:24:52+00:00,0.3574,2025-12-02T11:12:00+00:00,0.999,2025-12-03T13:24:25+00:00,0.999,2025-12-03T15:04:55+00:00,1.0,0.5902,-0.2988,-0.0513
0x8564848285e54c65f6cc2e3930b49362fbd84b2e,AllYourMoniesAreBelongToMe,0x19304977d87e5b37f5c40719a3e935c136acd5705b1398afdb4179b0dbdda19b,Will 'Arirang' - BTS debut week album sales be less than 3m?,Yes,Yes,934,498,10,5746.94,0.7162,2026-02-06T22:02:07+00:00,2026-02-13T19:56:41+00:00,1179.7,1013.7,0.4968,0.4968,2026-02-06T22:02:07+00:00,0.75,2026-02-13T20:18:43+00:00,0.999,2026-03-24T18:19:25+00:00,0.999,2026-03-27T23:41:51+00:00,1.0,0.2828,-0.2194,0.0338
