wallet_address,total_vol_usd,wash_vol_usd,total_n,wash_n,wash_vol_share,wash_n_share,clean_vol_usd,label
0xd189664c5308903476f9f079820431e4fd7d06f4,261309.19,0.0,2000,0,0.0,0.0,261309.19,clean
0xd4f904ecac0ff22ac6601de6b972d4f8b6b4f619,626028.46,84462.85,2000,307,0.1349,0.1535,541565.61,partial_washer
0x30cecdf29f069563ea21b8ae94492e41e53a6b2b,10950.15,0.0,2000,0,0.0,0.0,10950.15,clean
0x7c3db723f1d4d8cb9c550095203b686cb11e5c6b,667828.96,108402.31,2000,150,0.1623,0.075,559426.65,partial_washer
0x9b979a065641e8cfde3022a30ed2d9415cf55e12,13192288.56,246040.0,2000,48,0.0187,0.024,12946248.56,clean
0xaa0f9278293573f4f8ec1b7cdc19ba6fa480ab1c,171153.2,208.58,474,26,0.0012,0.0549,170944.61,clean
0x1b45b1a3cedccf21862edd86a58d286305d4ea09,932918.55,62848.18,2000,54,0.0674,0.027,870070.37,clean
0xe4cfbb89c05d3429280c69969aee2cfb7a4678c4,47363.2,125.11,2000,34,0.0026,0.017,47238.09,clean
0xf2ebb6fb4982c8ff49ddc89c802c70b250f16eb5,21081.81,0.0,2000,0,0.0,0.0,21081.81,clean
0xfc25f141ed27bb1787338d2c4e7f51e3a15e1f7f,1884962.22,52337.14,2000,10,0.0278,0.005,1832625.08,clean
0x1d8c256b15d3cd1f5db221e70c77f552eb8d757a,71390.09,1200.27,2000,58,0.0168,0.029,70189.82,clean
0x805a922574d7d6b158b7bbb49a6fa8925eb60635,470144.47,77476.36,2000,231,0.1648,0.1155,392668.11,partial_washer
0x0e5bd76779e74304d08e759072abf126d87da593,3300756.5,1981981.39,2000,1201,0.6005,0.6005,1318775.11,volume_farmer
0x7fe68cbaca0b778dab7c1adbb9992bb1f4f6b39e,1040866.04,458124.12,2000,834,0.4401,0.417,582741.93,partial_washer
0xc757850237e266d3b08d16b8455777a88590ccfc,2131224.98,122977.14,2000,240,0.0577,0.12,2008247.84,clean
0xb10047d6a254b2ebb306d7a7d13bf59171ab6461,840184.99,420516.18,2000,801,0.5005,0.4005,419668.81,volume_farmer
0x4df7da721042bf8b75bd1cb7acbeb7f83aaf522d,71223.51,18.76,2000,14,0.0003,0.007,71204.75,clean
0xa102b434ce441a3119e146f75ed6276ee1a836d9,15291425.11,3004734.84,2000,460,0.1965,0.23,12286690.27,partial_washer
0x1295269296e51cd28a3db85fa6728c0e352b5cfd,5051379.6,23592.36,2000,20,0.0047,0.01,5027787.24,clean
0xc25427ea224b8f9fa2df801233f944006ed33f73,1862852.48,632446.86,2000,458,0.3395,0.229,1230405.62,partial_washer
0xb37d69de3073a17f7c32aaba6f7daef0d80eb5b3,1366548.69,1352801.82,562,473,0.9899,0.8416,13746.87,volume_farmer
0x82a7183f93447d7a8ff5b4bd08eb0d74de266ed8,7789731.88,0.0,907,0,0.0,0.0,7789731.88,clean
0x3f7aee8f1fafcd873343105b24f83f3f98a9248e,39591.12,90.0,2000,2,0.0023,0.001,39501.12,clean
0x3b4484b6c8cbfdaa383ba337ab3f0d71055e264e,1530295.87,583683.46,2000,557,0.3814,0.2785,946612.41,partial_washer
0x9d3e4fb265800f911de2026ed4a0ebddce36eec6,4236193.51,2599733.24,2000,999,0.6137,0.4995,1636460.26,volume_farmer
0x8245ea0d5a476678cb354b69e136908f0757ebed,1368733.2,71834.86,2000,162,0.0525,0.081,1296898.34,clean
0x24ded84d901a743cfee095f8082b0f9f647183cb,2371124.41,1133550.45,2000,646,0.4781,0.323,1237573.95,partial_washer
0x69ea0d77ef34f1acb03aaed901df7620fc4215cd,1495486.72,233773.5,2000,177,0.1563,0.0885,1261713.23,partial_washer
0xe598435df0cdf5d22bdd5082d557f75f9180a0a8,1210345.71,455551.69,2000,557,0.3764,0.2785,754794.02,partial_washer
0xb48ef6deecd526c0974c35e1f7b5c3bbd12fa144,3499904.34,439691.25,2000,210,0.1256,0.105,3060213.09,partial_washer
0x2079cf38a4916c88f873f2b020bef66897248327,3242907.67,511548.54,1369,257,0.1577,0.1877,2731359.13,partial_washer
0x69aa9fa621403e3a121b29ad77d32ba9eb5e8847,5873208.46,341322.9,2000,164,0.0581,0.082,5531885.56,clean
0xebc0df15e665da95bf819105b723ae90042ffa41,176728.23,475.33,2000,22,0.0027,0.011,176252.9,clean
0x6bab41a0dc40d6dd4c1a915b8c01969479fd1292,1821480.96,227333.9,2000,161,0.1248,0.0805,1594147.05,partial_washer
0x96e882359883590b2cf8828d46200b0ab099d139,398525.11,361605.48,65,11,0.9074,0.1692,36919.62,volume_farmer
0x6ce22b6a995836c09871cdc9242b094d9e15e868,1676876.7,339635.21,2000,155,0.2025,0.0775,1337241.49,partial_washer
0xc4d1a863e9cc45d02ba22d3a1ae9ba7822018ce8,11676739.0,234304.13,2000,34,0.0201,0.017,11442434.87,clean
0x5607e051300abf498a988eab909dde03c899fd15,708178.0,151161.88,643,210,0.2135,0.3266,557016.12,partial_washer
0x57c5de7efafb020e589f80e0da6e16e9b5c907aa,7144068.25,728406.12,2000,531,0.102,0.2655,6415662.13,partial_washer
0x2a019dc0089ea8c6edbbafc8a7cc9ba77b4b6397,1221631.83,324737.79,2000,406,0.2658,0.203,896894.04,partial_washer
0x490f66ea703fc8fae19fd231c9921e3f4c0c17e5,44413.19,35220.64,2000,1383,0.793,0.6915,9192.55,volume_farmer
0x79add3f87e377b0899b935472c07d2c3816ba9f1,523263.09,252944.78,2000,467,0.4834,0.2335,270318.31,partial_washer
0x6e8f80ca0cddb8d3f207dc5147ac0e6062ae162c,1877214.97,535624.35,2000,323,0.2853,0.1615,1341590.61,partial_washer
0x8f7a4b414417911e7e9bd738399874792cdbdb40,3022793.09,647789.8,2000,1263,0.2143,0.6315,2375003.28,partial_washer
0xa38a455bbdd4b68486548b7e19da99903f4f821d,710970.46,0.0,2000,0,0.0,0.0,710970.46,clean
0x562bc8068347268d9a69b8dd464d00eed0f9dc09,258115.03,32658.99,2000,168,0.1265,0.084,225456.05,partial_washer
0x087eaada2ce7452fd07d00fb858155b13919c44e,359050.6,325202.31,67,10,0.9057,0.1493,33848.29,volume_farmer
